(10,)
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
flatten_1 (Flatten)          (None, 10)                0         
_________________________________________________________________
dense_1 (Dense)              (None, 512)               5632      
_________________________________________________________________
activation_1 (Activation)    (None, 512)               0         
_________________________________________________________________
dense_2 (Dense)              (None, 512)               262656    
_________________________________________________________________
activation_2 (Activation)    (None, 512)               0         
_________________________________________________________________
dense_3 (Dense)              (None, 5)                 2565      
_________________________________________________________________
activation_3 (Activation)    (None, 5)                 0         
=================================================================
Total params: 270,853
Trainable params: 270,853
Non-trainable params: 0
_________________________________________________________________
None
load model
Training for 500000 steps ...
[F[K     39/500000: episode: 1, duration: 0.562s, episode steps: 39, steps per second: 69, episode reward: 39.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.154 [0.000, 4.000], mean observation: 0.498 [0.470, 0.510], loss: 0.880180, mean_absolute_error: 82.667548, mean_q: 104.039556
[F[K  15588/500000: episode: 272, duration: 0.980s, episode steps: 61, steps per second: 62, episode reward: 61.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.738 [0.000, 4.000], mean observation: 0.480 [0.390, 0.530], loss: 8.057299, mean_absolute_error: 34.937092, mean_q: 45.513466
[F[K  15643/500000: episode: 273, duration: 0.845s, episode steps: 55, steps per second: 65, episode reward: 55.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.091 [0.000, 4.000], mean observation: 0.484 [0.400, 0.520], loss: 9.286709, mean_absolute_error: 33.512203, mean_q: 43.849422
[F[K  15699/500000: episode: 274, duration: 0.856s, episode steps: 56, steps per second: 65, episode reward: 56.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.893 [0.000, 4.000], mean observation: 0.511 [0.470, 0.640], loss: 7.419430, mean_absolute_error: 33.662502, mean_q: 44.013401
[F[K  15763/500000: episode: 275, duration: 1.077s, episode steps: 64, steps per second: 59, episode reward: 64.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.000 [0.000, 4.000], mean observation: 0.498 [0.400, 0.560], loss: 8.650535, mean_absolute_error: 34.675789, mean_q: 45.064751
[F[K  15843/500000: episode: 276, duration: 1.373s, episode steps: 80, steps per second: 58, episode reward: 80.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.538 [0.000, 4.000], mean observation: 0.494 [0.400, 0.530], loss: 8.416812, mean_absolute_error: 34.028893, mean_q: 44.443474
[F[K  15897/500000: episode: 277, duration: 0.807s, episode steps: 54, steps per second: 67, episode reward: 54.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.833 [0.000, 4.000], mean observation: 0.489 [0.410, 0.530], loss: 7.820249, mean_absolute_error: 33.598713, mean_q: 43.800114
[F[K  15944/500000: episode: 278, duration: 0.706s, episode steps: 47, steps per second: 67, episode reward: 47.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.809 [0.000, 4.000], mean observation: 0.488 [0.390, 0.530], loss: 8.162127, mean_absolute_error: 33.831150, mean_q: 44.165123
[F[K  16014/500000: episode: 279, duration: 0.998s, episode steps: 70, steps per second: 70, episode reward: 70.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.171 [0.000, 4.000], mean observation: 0.484 [0.360, 0.520], loss: 7.313638, mean_absolute_error: 33.334057, mean_q: 43.581772
[F[K  16079/500000: episode: 280, duration: 0.836s, episode steps: 65, steps per second: 78, episode reward: 65.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.969 [0.000, 4.000], mean observation: 0.516 [0.470, 0.610], loss: 8.732512, mean_absolute_error: 34.272778, mean_q: 44.687614
[F[K  16138/500000: episode: 281, duration: 0.786s, episode steps: 59, steps per second: 75, episode reward: 59.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.576 [0.000, 4.000], mean observation: 0.497 [0.420, 0.530], loss: 8.984245, mean_absolute_error: 33.815926, mean_q: 44.044220
[F[K  16188/500000: episode: 282, duration: 0.715s, episode steps: 50, steps per second: 70, episode reward: 50.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.160 [0.000, 3.000], mean observation: 0.480 [0.360, 0.520], loss: 7.994260, mean_absolute_error: 34.188507, mean_q: 44.565639
[F[K  16244/500000: episode: 283, duration: 0.736s, episode steps: 56, steps per second: 76, episode reward: 56.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.214 [0.000, 4.000], mean observation: 0.512 [0.470, 0.600], loss: 8.127403, mean_absolute_error: 34.543591, mean_q: 45.106800
[F[K  16320/500000: episode: 284, duration: 1.005s, episode steps: 76, steps per second: 76, episode reward: 76.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.737 [0.000, 3.000], mean observation: 0.508 [0.460, 0.610], loss: 9.114458, mean_absolute_error: 34.500015, mean_q: 44.951714
[F[K  16378/500000: episode: 285, duration: 0.736s, episode steps: 58, steps per second: 79, episode reward: 58.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.431 [0.000, 4.000], mean observation: 0.526 [0.470, 0.650], loss: 9.168099, mean_absolute_error: 33.890511, mean_q: 44.279404
[F[K  16412/500000: episode: 286, duration: 0.461s, episode steps: 34, steps per second: 74, episode reward: 34.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.588 [0.000, 3.000], mean observation: 0.527 [0.470, 0.650], loss: 7.597571, mean_absolute_error: 33.843792, mean_q: 44.428444
[F[K  16472/500000: episode: 287, duration: 0.759s, episode steps: 60, steps per second: 79, episode reward: 60.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.717 [0.000, 4.000], mean observation: 0.486 [0.390, 0.530], loss: 7.979717, mean_absolute_error: 33.335339, mean_q: 43.758190
[F[K  16531/500000: episode: 288, duration: 0.693s, episode steps: 59, steps per second: 85, episode reward: 59.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.119 [0.000, 4.000], mean observation: 0.511 [0.470, 0.600], loss: 9.861001, mean_absolute_error: 33.404968, mean_q: 43.760582
[F[K  16599/500000: episode: 289, duration: 0.903s, episode steps: 68, steps per second: 75, episode reward: 68.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.750 [0.000, 4.000], mean observation: 0.493 [0.440, 0.520], loss: 8.887856, mean_absolute_error: 33.412151, mean_q: 43.733727
[F[K  16652/500000: episode: 290, duration: 0.644s, episode steps: 53, steps per second: 82, episode reward: 53.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.208 [0.000, 4.000], mean observation: 0.486 [0.360, 0.520], loss: 8.143521, mean_absolute_error: 33.801823, mean_q: 44.112709
[F[K  16698/500000: episode: 291, duration: 0.647s, episode steps: 46, steps per second: 71, episode reward: 46.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.348 [0.000, 4.000], mean observation: 0.494 [0.410, 0.530], loss: 7.446133, mean_absolute_error: 34.575779, mean_q: 45.127956
[F[K  16752/500000: episode: 292, duration: 0.733s, episode steps: 54, steps per second: 74, episode reward: 54.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.926 [0.000, 4.000], mean observation: 0.481 [0.380, 0.530], loss: 8.396613, mean_absolute_error: 34.038017, mean_q: 44.230793
[F[K  16794/500000: episode: 293, duration: 0.682s, episode steps: 42, steps per second: 62, episode reward: 42.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.143 [0.000, 4.000], mean observation: 0.493 [0.350, 0.560], loss: 9.096431, mean_absolute_error: 33.278069, mean_q: 43.430046
[F[K  16833/500000: episode: 294, duration: 0.576s, episode steps: 39, steps per second: 68, episode reward: 39.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.795 [0.000, 4.000], mean observation: 0.502 [0.370, 0.650], loss: 6.870315, mean_absolute_error: 33.617493, mean_q: 43.829144
[F[K  16888/500000: episode: 295, duration: 0.791s, episode steps: 55, steps per second: 70, episode reward: 55.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.127 [0.000, 4.000], mean observation: 0.501 [0.370, 0.640], loss: 8.579800, mean_absolute_error: 33.179909, mean_q: 43.389149
[F[K  16936/500000: episode: 296, duration: 0.621s, episode steps: 48, steps per second: 77, episode reward: 48.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.896 [0.000, 4.000], mean observation: 0.493 [0.400, 0.540], loss: 8.197739, mean_absolute_error: 33.903831, mean_q: 44.177460
[F[K  16987/500000: episode: 297, duration: 0.596s, episode steps: 51, steps per second: 86, episode reward: 51.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.176 [0.000, 4.000], mean observation: 0.492 [0.360, 0.560], loss: 9.299664, mean_absolute_error: 33.677677, mean_q: 43.950848
[F[K  17043/500000: episode: 298, duration: 0.903s, episode steps: 56, steps per second: 62, episode reward: 56.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.089 [0.000, 4.000], mean observation: 0.511 [0.470, 0.620], loss: 9.270929, mean_absolute_error: 33.698795, mean_q: 43.943035
[F[K  17117/500000: episode: 299, duration: 1.095s, episode steps: 74, steps per second: 68, episode reward: 74.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.649 [0.000, 4.000], mean observation: 0.504 [0.470, 0.550], loss: 9.936528, mean_absolute_error: 33.364857, mean_q: 43.493935
[F[K  17151/500000: episode: 300, duration: 0.490s, episode steps: 34, steps per second: 69, episode reward: 34.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.882 [0.000, 2.000], mean observation: 0.518 [0.470, 0.650], loss: 7.793704, mean_absolute_error: 32.764698, mean_q: 42.769836
[F[K  17203/500000: episode: 301, duration: 0.785s, episode steps: 52, steps per second: 66, episode reward: 52.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.135 [0.000, 4.000], mean observation: 0.521 [0.470, 0.630], loss: 9.464767, mean_absolute_error: 33.757439, mean_q: 44.005882
[F[K  17258/500000: episode: 302, duration: 0.860s, episode steps: 55, steps per second: 64, episode reward: 55.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.491 [0.000, 4.000], mean observation: 0.507 [0.470, 0.550], loss: 8.556260, mean_absolute_error: 33.501335, mean_q: 43.818867
[F[K  17321/500000: episode: 303, duration: 0.777s, episode steps: 63, steps per second: 81, episode reward: 63.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.095 [0.000, 4.000], mean observation: 0.495 [0.440, 0.520], loss: 7.492735, mean_absolute_error: 33.582104, mean_q: 43.850769
[F[K  17363/500000: episode: 304, duration: 0.614s, episode steps: 42, steps per second: 68, episode reward: 42.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.333 [0.000, 4.000], mean observation: 0.514 [0.470, 0.640], loss: 8.931476, mean_absolute_error: 32.764893, mean_q: 42.820770
[F[K  17402/500000: episode: 305, duration: 0.553s, episode steps: 39, steps per second: 71, episode reward: 39.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.744 [0.000, 4.000], mean observation: 0.495 [0.370, 0.590], loss: 8.162155, mean_absolute_error: 33.191818, mean_q: 43.434441
[F[K  17465/500000: episode: 306, duration: 0.886s, episode steps: 63, steps per second: 71, episode reward: 63.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.206 [0.000, 3.000], mean observation: 0.501 [0.470, 0.560], loss: 8.252432, mean_absolute_error: 33.448353, mean_q: 43.600040
[F[K  17521/500000: episode: 307, duration: 0.806s, episode steps: 56, steps per second: 69, episode reward: 56.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.589 [0.000, 4.000], mean observation: 0.500 [0.370, 0.620], loss: 7.088480, mean_absolute_error: 33.430779, mean_q: 43.617031
[F[K  17572/500000: episode: 308, duration: 0.752s, episode steps: 51, steps per second: 68, episode reward: 51.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.392 [0.000, 4.000], mean observation: 0.507 [0.470, 0.600], loss: 10.312772, mean_absolute_error: 33.709156, mean_q: 43.821720
[F[K  17655/500000: episode: 309, duration: 1.095s, episode steps: 83, steps per second: 76, episode reward: 83.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.735 [0.000, 4.000], mean observation: 0.495 [0.370, 0.580], loss: 8.962375, mean_absolute_error: 32.532440, mean_q: 42.437828
[F[K  17692/500000: episode: 310, duration: 0.455s, episode steps: 37, steps per second: 81, episode reward: 37.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.243 [0.000, 4.000], mean observation: 0.488 [0.350, 0.540], loss: 9.679993, mean_absolute_error: 32.983940, mean_q: 42.869652
[F[K  17732/500000: episode: 311, duration: 0.582s, episode steps: 40, steps per second: 69, episode reward: 40.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [0.000, 3.000], mean observation: 0.492 [0.350, 0.590], loss: 7.594831, mean_absolute_error: 33.369225, mean_q: 43.452362
[F[K  17791/500000: episode: 312, duration: 0.862s, episode steps: 59, steps per second: 68, episode reward: 59.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.898 [0.000, 4.000], mean observation: 0.492 [0.400, 0.540], loss: 9.227447, mean_absolute_error: 33.444504, mean_q: 43.561420
[F[K  17856/500000: episode: 313, duration: 1.013s, episode steps: 65, steps per second: 64, episode reward: 65.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.738 [0.000, 4.000], mean observation: 0.491 [0.450, 0.520], loss: 8.224632, mean_absolute_error: 33.704002, mean_q: 43.859844
[F[K  17914/500000: episode: 314, duration: 0.885s, episode steps: 58, steps per second: 66, episode reward: 58.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.207 [0.000, 4.000], mean observation: 0.501 [0.390, 0.620], loss: 8.195056, mean_absolute_error: 32.422966, mean_q: 42.437695
[F[K  17972/500000: episode: 315, duration: 0.879s, episode steps: 58, steps per second: 66, episode reward: 58.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.345 [0.000, 4.000], mean observation: 0.493 [0.450, 0.520], loss: 7.819860, mean_absolute_error: 33.349609, mean_q: 43.527943
[F[K  18027/500000: episode: 316, duration: 0.757s, episode steps: 55, steps per second: 73, episode reward: 55.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.964 [0.000, 4.000], mean observation: 0.514 [0.470, 0.610], loss: 8.511481, mean_absolute_error: 32.916969, mean_q: 42.836254
[F[K  18098/500000: episode: 317, duration: 0.852s, episode steps: 71, steps per second: 83, episode reward: 71.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.831 [0.000, 4.000], mean observation: 0.511 [0.470, 0.600], loss: 8.506406, mean_absolute_error: 32.430470, mean_q: 42.357349
[F[K  18151/500000: episode: 318, duration: 0.761s, episode steps: 53, steps per second: 70, episode reward: 53.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.660 [0.000, 4.000], mean observation: 0.513 [0.470, 0.570], loss: 8.341235, mean_absolute_error: 32.917137, mean_q: 42.898636
[F[K  18192/500000: episode: 319, duration: 0.565s, episode steps: 41, steps per second: 73, episode reward: 41.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.146 [0.000, 4.000], mean observation: 0.494 [0.430, 0.530], loss: 8.425631, mean_absolute_error: 33.379570, mean_q: 43.463982
[F[K  18253/500000: episode: 320, duration: 0.766s, episode steps: 61, steps per second: 80, episode reward: 61.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.344 [0.000, 4.000], mean observation: 0.492 [0.460, 0.520], loss: 7.930449, mean_absolute_error: 33.124092, mean_q: 43.159645
[F[K  18304/500000: episode: 321, duration: 0.591s, episode steps: 51, steps per second: 86, episode reward: 51.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.196 [0.000, 4.000], mean observation: 0.512 [0.470, 0.610], loss: 8.690609, mean_absolute_error: 32.824131, mean_q: 42.898811
[F[K  18354/500000: episode: 322, duration: 0.627s, episode steps: 50, steps per second: 80, episode reward: 50.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.360 [0.000, 4.000], mean observation: 0.484 [0.370, 0.520], loss: 8.022096, mean_absolute_error: 33.468361, mean_q: 43.527348
[F[K  18405/500000: episode: 323, duration: 0.590s, episode steps: 51, steps per second: 86, episode reward: 51.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.588 [0.000, 4.000], mean observation: 0.502 [0.460, 0.570], loss: 7.577029, mean_absolute_error: 32.697369, mean_q: 42.674843
[F[K  18438/500000: episode: 324, duration: 0.419s, episode steps: 33, steps per second: 79, episode reward: 33.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.242 [0.000, 3.000], mean observation: 0.512 [0.470, 0.650], loss: 7.840643, mean_absolute_error: 33.623466, mean_q: 43.683224
[F[K  18514/500000: episode: 325, duration: 0.911s, episode steps: 76, steps per second: 83, episode reward: 76.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.684 [0.000, 4.000], mean observation: 0.503 [0.460, 0.550], loss: 6.850118, mean_absolute_error: 32.600037, mean_q: 42.609901
[F[K  18596/500000: episode: 326, duration: 0.924s, episode steps: 82, steps per second: 89, episode reward: 82.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.488 [0.000, 4.000], mean observation: 0.493 [0.410, 0.530], loss: 7.780370, mean_absolute_error: 33.015102, mean_q: 42.981247
[F[K  18660/500000: episode: 327, duration: 0.865s, episode steps: 64, steps per second: 74, episode reward: 64.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.062 [0.000, 4.000], mean observation: 0.487 [0.400, 0.520], loss: 7.670101, mean_absolute_error: 32.991081, mean_q: 42.973316
[F[K  18714/500000: episode: 328, duration: 0.714s, episode steps: 54, steps per second: 76, episode reward: 54.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.093 [0.000, 4.000], mean observation: 0.502 [0.400, 0.620], loss: 6.936402, mean_absolute_error: 32.577549, mean_q: 42.677803
[F[K  18773/500000: episode: 329, duration: 0.678s, episode steps: 59, steps per second: 87, episode reward: 59.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.169 [0.000, 4.000], mean observation: 0.508 [0.470, 0.560], loss: 7.695522, mean_absolute_error: 32.646049, mean_q: 42.650082
[F[K  18853/500000: episode: 330, duration: 0.945s, episode steps: 80, steps per second: 85, episode reward: 80.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.775 [0.000, 4.000], mean observation: 0.505 [0.470, 0.550], loss: 7.429149, mean_absolute_error: 33.371899, mean_q: 43.491608
[F[K  18916/500000: episode: 331, duration: 0.810s, episode steps: 63, steps per second: 78, episode reward: 63.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.683 [0.000, 4.000], mean observation: 0.497 [0.410, 0.570], loss: 8.485154, mean_absolute_error: 32.651276, mean_q: 42.544708
[F[K  19007/500000: episode: 332, duration: 1.188s, episode steps: 91, steps per second: 77, episode reward: 91.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.099 [0.000, 4.000], mean observation: 0.506 [0.470, 0.550], loss: 8.001847, mean_absolute_error: 33.301186, mean_q: 43.348755
[F[K  19066/500000: episode: 333, duration: 0.703s, episode steps: 59, steps per second: 84, episode reward: 59.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.729 [0.000, 4.000], mean observation: 0.487 [0.370, 0.520], loss: 6.849077, mean_absolute_error: 32.534702, mean_q: 42.210777
[F[K  19122/500000: episode: 334, duration: 0.820s, episode steps: 56, steps per second: 68, episode reward: 56.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.696 [0.000, 4.000], mean observation: 0.502 [0.450, 0.570], loss: 6.665561, mean_absolute_error: 32.601707, mean_q: 42.495586
[F[K  19186/500000: episode: 335, duration: 0.903s, episode steps: 64, steps per second: 71, episode reward: 64.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.656 [0.000, 4.000], mean observation: 0.490 [0.430, 0.530], loss: 8.243982, mean_absolute_error: 32.530865, mean_q: 42.422550
[F[K  19238/500000: episode: 336, duration: 0.706s, episode steps: 52, steps per second: 74, episode reward: 52.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.904 [0.000, 4.000], mean observation: 0.500 [0.440, 0.550], loss: 7.395421, mean_absolute_error: 32.557449, mean_q: 42.561157
[F[K  19305/500000: episode: 337, duration: 1.004s, episode steps: 67, steps per second: 67, episode reward: 67.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.866 [0.000, 4.000], mean observation: 0.500 [0.360, 0.630], loss: 7.853545, mean_absolute_error: 32.905933, mean_q: 42.862858
[F[K  19357/500000: episode: 338, duration: 0.811s, episode steps: 52, steps per second: 64, episode reward: 52.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.635 [0.000, 3.000], mean observation: 0.511 [0.470, 0.630], loss: 6.920724, mean_absolute_error: 33.084824, mean_q: 43.085606
[F[K  19412/500000: episode: 339, duration: 0.799s, episode steps: 55, steps per second: 69, episode reward: 55.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.964 [0.000, 4.000], mean observation: 0.510 [0.470, 0.600], loss: 8.019837, mean_absolute_error: 32.004208, mean_q: 41.740288
[F[K  19469/500000: episode: 340, duration: 0.792s, episode steps: 57, steps per second: 72, episode reward: 57.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.421 [0.000, 4.000], mean observation: 0.512 [0.470, 0.600], loss: 6.056973, mean_absolute_error: 33.220398, mean_q: 43.486748
[F[K  19584/500000: episode: 341, duration: 1.666s, episode steps: 115, steps per second: 69, episode reward: 115.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.139 [0.000, 4.000], mean observation: 0.474 [0.340, 0.540], loss: 7.710809, mean_absolute_error: 32.997658, mean_q: 43.010864
[F[K  19702/500000: episode: 342, duration: 1.482s, episode steps: 118, steps per second: 80, episode reward: 118.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.627 [0.000, 4.000], mean observation: 0.489 [0.390, 0.530], loss: 8.341877, mean_absolute_error: 32.838058, mean_q: 42.650272
[F[K  19760/500000: episode: 343, duration: 0.848s, episode steps: 58, steps per second: 68, episode reward: 58.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.086 [0.000, 4.000], mean observation: 0.509 [0.500, 0.540], loss: 7.062817, mean_absolute_error: 32.862095, mean_q: 42.784000
[F[K  19833/500000: episode: 344, duration: 1.009s, episode steps: 73, steps per second: 72, episode reward: 73.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.658 [0.000, 4.000], mean observation: 0.497 [0.450, 0.530], loss: 7.404184, mean_absolute_error: 33.147789, mean_q: 43.171646
[F[K  19903/500000: episode: 345, duration: 0.961s, episode steps: 70, steps per second: 73, episode reward: 70.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.614 [0.000, 4.000], mean observation: 0.508 [0.470, 0.580], loss: 7.750734, mean_absolute_error: 33.162727, mean_q: 43.040161
[F[K  19943/500000: episode: 346, duration: 0.548s, episode steps: 40, steps per second: 73, episode reward: 40.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.575 [0.000, 4.000], mean observation: 0.494 [0.350, 0.580], loss: 6.691285, mean_absolute_error: 32.872059, mean_q: 42.691772
[F[K  20008/500000: episode: 347, duration: 0.844s, episode steps: 65, steps per second: 77, episode reward: 65.000, mean reward: 1.000 [1.000, 1.000], mean action: 3.031 [0.000, 4.000], mean observation: 0.490 [0.360, 0.530], loss: 7.792972, mean_absolute_error: 32.770535, mean_q: 42.687531
[F[K  20073/500000: episode: 348, duration: 0.975s, episode steps: 65, steps per second: 67, episode reward: 65.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.031 [0.000, 4.000], mean observation: 0.512 [0.470, 0.560], loss: 6.558708, mean_absolute_error: 32.079334, mean_q: 41.638325
[F[K  20141/500000: episode: 349, duration: 0.928s, episode steps: 68, steps per second: 73, episode reward: 68.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.103 [0.000, 4.000], mean observation: 0.492 [0.370, 0.550], loss: 7.391212, mean_absolute_error: 32.959976, mean_q: 42.936630
[F[K  20228/500000: episode: 350, duration: 1.231s, episode steps: 87, steps per second: 71, episode reward: 87.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.425 [0.000, 4.000], mean observation: 0.502 [0.410, 0.600], loss: 6.535480, mean_absolute_error: 32.581120, mean_q: 42.407879
[F[K  20278/500000: episode: 351, duration: 0.752s, episode steps: 50, steps per second: 67, episode reward: 50.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.320 [0.000, 4.000], mean observation: 0.498 [0.370, 0.610], loss: 6.457025, mean_absolute_error: 32.750458, mean_q: 42.611046
[F[K  20352/500000: episode: 352, duration: 1.133s, episode steps: 74, steps per second: 65, episode reward: 74.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.932 [0.000, 4.000], mean observation: 0.507 [0.420, 0.650], loss: 7.431698, mean_absolute_error: 33.676933, mean_q: 43.628624
[F[K  20421/500000: episode: 353, duration: 1.011s, episode steps: 69, steps per second: 68, episode reward: 69.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.449 [0.000, 4.000], mean observation: 0.507 [0.470, 0.600], loss: 7.290900, mean_absolute_error: 32.449390, mean_q: 42.215519
[F[K  20472/500000: episode: 354, duration: 0.796s, episode steps: 51, steps per second: 64, episode reward: 51.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.294 [0.000, 4.000], mean observation: 0.487 [0.360, 0.540], loss: 8.410888, mean_absolute_error: 32.723431, mean_q: 42.577606
[F[K  20534/500000: episode: 355, duration: 0.804s, episode steps: 62, steps per second: 77, episode reward: 62.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.903 [0.000, 4.000], mean observation: 0.488 [0.400, 0.530], loss: 8.332941, mean_absolute_error: 32.871090, mean_q: 42.572170
[F[K  20585/500000: episode: 356, duration: 0.773s, episode steps: 51, steps per second: 66, episode reward: 51.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.000 [0.000, 4.000], mean observation: 0.522 [0.470, 0.630], loss: 6.346745, mean_absolute_error: 32.910519, mean_q: 42.673599
[F[K  20669/500000: episode: 357, duration: 1.113s, episode steps: 84, steps per second: 75, episode reward: 84.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.762 [0.000, 4.000], mean observation: 0.489 [0.400, 0.530], loss: 7.913562, mean_absolute_error: 31.888832, mean_q: 41.459358
[F[K  20729/500000: episode: 358, duration: 1.000s, episode steps: 60, steps per second: 60, episode reward: 60.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.600 [0.000, 4.000], mean observation: 0.516 [0.470, 0.640], loss: 7.857033, mean_absolute_error: 32.284473, mean_q: 41.888206
[F[K  20779/500000: episode: 359, duration: 0.757s, episode steps: 50, steps per second: 66, episode reward: 50.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.680 [0.000, 4.000], mean observation: 0.478 [0.360, 0.520], loss: 6.629811, mean_absolute_error: 31.992176, mean_q: 41.584351
[F[K  20840/500000: episode: 360, duration: 0.864s, episode steps: 61, steps per second: 71, episode reward: 61.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.607 [0.000, 4.000], mean observation: 0.490 [0.380, 0.520], loss: 8.418349, mean_absolute_error: 32.742229, mean_q: 42.356182
[F[K  20925/500000: episode: 361, duration: 1.288s, episode steps: 85, steps per second: 66, episode reward: 85.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.965 [0.000, 4.000], mean observation: 0.492 [0.410, 0.530], loss: 7.193557, mean_absolute_error: 32.461060, mean_q: 42.127480
[F[K  20989/500000: episode: 362, duration: 0.895s, episode steps: 64, steps per second: 72, episode reward: 64.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.359 [0.000, 4.000], mean observation: 0.492 [0.360, 0.550], loss: 7.129316, mean_absolute_error: 32.874519, mean_q: 42.642365
[F[K  21036/500000: episode: 363, duration: 0.710s, episode steps: 47, steps per second: 66, episode reward: 47.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.404 [0.000, 4.000], mean observation: 0.491 [0.350, 0.560], loss: 7.847013, mean_absolute_error: 32.120846, mean_q: 41.754002
